"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ISPH","Inspire Pharmaceuticals, Inc.","4.99","415028280","2000","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ISPH&selected=ISPH",
"IIIN","Insteel Industries, Inc.","13.73","241359670","n/a","Capital Goods","Steel/Iron Ore","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IIIN&selected=IIIN",
"PODD","Insulet Corporation","20.65","943085500","2007","Health Care","Medical/Dental Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=PODD&selected=PODD",
"INSW","InsWeb Corporation","7.5","37432500","1999","Miscellaneous","Business Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=INSW&selected=INSW",
"IART","Integra LifeSciences Holdings Corporation","51.84","1482831360","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IART&selected=IART",
"ISYS","Integral Systems, Inc.","12.3","217193400","n/a","Technology","EDP Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ISYS&selected=ISYS",
"INMD","IntegraMed America, Inc.","10.05","117866400","n/a","Health Care","Medical/Nursing Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=INMD&selected=INMD",
"IDTI","Integrated Device Technology, Inc.","7.87","1187543650","1984","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IDTI&selected=IDTI",
"IESC","Integrated Electrical Services, Inc.","3.41","50829460","n/a","Capital Goods","Engineering & Construction","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IESC&selected=IESC",
"ISSI","Integrated Silicon Solution, Inc.","9.08","241564320","1995","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ISSI&selected=ISSI",
"INTC","Intel Corporation","23.5","128968000000","1971","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=INTC&selected=INTC",
"IPCI","Intellipharmaceutics International Inc.","4.73","74294110","1994","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IPCI&selected=IPCI",
"IPAR","Inter Parfums, Inc.","18.97","578224570","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IPAR&selected=IPAR",
"IBKR","Interactive Brokers Group, Inc.","17.26","728924320","n/a","Finance","Investment Bankers/Brokers/Service","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IBKR&selected=IBKR",
"ININ","Interactive Intelligence, Inc.","35.63","660045750","1995","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ININ&selected=ININ",
"ICLK","interCLICK, Inc.","7","168763000","n/a","Consumer Services","Advertising","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ICLK&selected=ICLK",
"IDCC","InterDigital, Inc.","44.51","2017460260","n/a","Miscellaneous","Multi-Sector Companies","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IDCC&selected=IDCC",
"IFSIA","Interface, Inc.","18.7","1078298100","n/a","Consumer Durables","Home Furnishings","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IFSIA&selected=IFSIA",
"ITMN","InterMune, Inc.","42.62","2388041220","2000","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ITMN&selected=ITMN",
"INAP","Internap Network Services Corporation","7.27","377581990","1999","Technology","Computer Software: Programming, Data Processing","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=INAP&selected=INAP",
"IBOC","International Bancshares Corporation","17","1150934000","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IBOC&selected=IBOC",
