1/17/2006,37.150001525878906,37.150001525878906,37.150001525878906,37.150001525878906,125
1/16/2006,37.150001525878906,37.150001525878906,37.150001525878906,37.139999389648437,5055
1/12/2006,40.819999694824219,35.380001068115234,36,35,940
1/4/2006,42.389999389648438,39.5,39.5,39.5,132
1/3/2006,47.529998779296875,42.389999389648438,44,39.900001525878906,990
1/2/2006,49.950000762939453,47.529998779296875,50,36,2665
12/28/2005,36.020000457763672,36.939998626708984,37,36.020000457763672,598
12/27/2005,36.950000762939453,36.020000457763672,37,34.5,575
12/26/2005,35.029998779296875,34.669998168945313,35,34,1707
12/21/2005,32,34.049999237060547,34.950000762939453,33.950000762939453,200
12/20/2005,32.849998474121094,32,32,32,101
12/19/2005,33.360000610351563,32.849998474121094,35.799999237060547,30.049999237060547,205
12/15/2005,33.860000610351563,34,35,34,2116
12/14/2005,34.990001678466797,33.860000610351563,34.990001678466797,33.840000152587891,352
12/13/2005,33.659999847412109,33.419998168945312,33.659999847412109,33.330001831054688,1444
12/12/2005,35.75,35.279998779296875,35.830001831054688,33.909999847412109,390
12/8/2005,31,35.950000762939453,39.5,31,3809
12/7/2005,20.739999771118164,30.899999618530273,30.899999618530273,27.5,6361
12/5/2005,19.520000457763672,20.739999771118164,24.600000381469727,24.600000381469727,24
11/30/2005,19.520000457763672,19.520000457763672,19.5,19.5,1
11/23/2005,20,19.520000457763672,20.5,19.5,1025
11/21/2005,19.5,20,20,20,334
11/8/2005,18.5,18.5,18.5,18.5,400
10/27/2005,17.379999160766602,18,18,18,300
10/11/2005,15,16.5,16.5,16.5,659
10/6/2005,16,16,16,16,616
9/6/2005,16,16,16,16,61
9/5/2005,16,16,16,16,130
8/18/2005,16,16,16,16,470
8/9/2005,16,16,16,16,716
8/8/2005,16,16,16,16,437
8/3/2005,15.680000305175781,16,16,16,207
7/12/2005,19.5,15.680000305175781,15.010000228881836,15.010000228881836,27
7/6/2005,19.5,15.850000381469727,15.850000381469727,15.850000381469727,1
6/27/2005,19.5,15.850000381469727,15.850000381469727,15.850000381469727,155
6/22/2005,19.5,16.010000228881836,16.479999542236328,15,1357
6/21/2005,19.5,16.450000762939453,17.899999618530273,15,200
6/20/2005,19.5,16,16,16,100
6/16/2005,19.5,18,18,18,200
5/19/2005,19.5,20.399999618530273,20.399999618530273,20.399999618530273,23
5/2/2005,19.5,20.399999618530273,20.399999618530273,20.399999618530273,110
4/21/2005,19.5,18.819999694824219,18.530000686645508,18.530000686645508,70
4/12/2005,19.5,19.5,19.5,19.5,196
4/11/2005,19.5,19.5,19.5,19.5,196
4/7/2005,19.5,19.5,19.5,19.5,867
4/6/2005,19.5,19.5,19.5,19.5,867
4/5/2005,19.5,19.5,19.5,19.5,867
4/4/2005,19.5,19.5,19.5,19.5,172
3/31/2005,19.5,19.5,19.5,19.5,172
3/30/2005,19.450000762939453,19.5,19.5,19.5,172
3/29/2005,19.5,19.450000762939453,19.5,19.299999237060547,341
3/28/2005,19.5,19.5,19.5,19.5,110
3/24/2005,19.5,19.5,19.5,19.5,110
3/23/2005,19.5,19.5,19.5,19.5,110
3/22/2005,19.5,19.5,19.5,19.5,110
3/21/2005,19.5,19.5,19.5,19.5,110
3/17/2005,19.5,19.5,19.5,19.5,110
3/16/2005,19.5,19.5,19.5,19.5,110
3/15/2005,19.5,19.5,19.5,19.5,110
3/14/2005,18.5,19.5,19.5,19.5,110
3/10/2005,18.5,18.5,18.5,18.5,405
3/9/2005,18.5,18.5,18.5,18.5,110
3/8/2005,18.620000839233398,18.5,18.5,18.5,110
3/7/2005,18.620000839233398,18.620000839233398,18.620000839233398,18.620000839233398,282
3/3/2005,18.620000839233398,18.620000839233398,18.620000839233398,18.620000839233398,282
3/2/2005,17.729999542236328,18.620000839233398,18.620000839233398,18.620000839233398,282
3/1/2005,17.729999542236328,17.729999542236328,17.729999542236328,17.729999542236328,370
2/28/2005,17.729999542236328,17.729999542236328,17.729999542236328,17.729999542236328,370
2/24/2005,17.729999542236328,17.729999542236328,17.729999542236328,17.729999542236328,370
2/23/2005,17.729999542236328,17.729999542236328,17.729999542236328,17.729999542236328,370
2/22/2005,17.25,17.729999542236328,18.799999237060547,17.010000228881836,370
2/21/2005,17.989999771118164,18.260000228881836,19.489999771118164,17.030000686645508,392
2/17/2005,17.549999237060547,17.989999771118164,19.540000915527344,17.549999237060547,455
2/16/2005,19.549999237060547,19.549999237060547,19.549999237060547,19.549999237060547,322
2/15/2005,19.549999237060547,19.549999237060547,19.549999237060547,19.549999237060547,322
2/14/2005,19.549999237060547,19.549999237060547,19.549999237060547,19.549999237060547,322
2/10/2005,19.549999237060547,19.549999237060547,19.549999237060547,19.549999237060547,322
2/9/2005,19.950000762939453,19.549999237060547,19.549999237060547,19.5,322
2/8/2005,19.950000762939453,19.950000762939453,19.950000762939453,19.950000762939453,2
2/7/2005,19.950000762939453,19.950000762939453,19.950000762939453,19.950000762939453,2
2/3/2005,19.950000762939453,19.950000762939453,19.950000762939453,19.950000762939453,2
2/2/2005,19.950000762939453,19.950000762939453,19.950000762939453,19.950000762939453,2
2/1/2005,19.950000762939453,19.950000762939453,19.950000762939453,19.950000762939453,2
1/31/2005,19.950000762939453,19.950000762939453,19.950000762939453,19.950000762939453,2
1/27/2005,19.950000762939453,19.950000762939453,19.950000762939453,19.950000762939453,2
1/26/2005,19.950000762939453,19.950000762939453,19.950000762939453,19.950000762939453,2
1/25/2005,19.950000762939453,19.950000762939453,19.950000762939453,19.950000762939453,2
