Symbol	Name
DEGA1	DELTA-GALIL INDUSTR
DEJG	D J G FACTORY OF EL
DEOL	DELEK ENERGI SYSTEM
DGEM	DEGEM SYSTEMS
DIGL	DIGAL INVTS & HLDGS
DIMRI	DIMRI BLDG DEV
DISI	DISCOUNT INVT
DJCE-M	DATA JCE
DLEA	DELEK AUTOMATIVE
DLEK	DELEK ISRAEL FUEL-C
DLEKG	DELEK GROUP
DLIN-L	CINEMA
DLKI	DELEK INTERNATIONAL
DLKR	DELEK REAL ESTATE
DMBK	MORTGAGE
DMDC	D MEDICAL INDUST
DNTE	DANBAR TECHNOLOGIES
DNYA	DANYA CEBUS
DOLV	DOLEV INS CO
DORA	DOREA INVT & DEVLS
DORC	DOR CHEMS
DORI	U. DORI ENGR WKS CO
DOROT	DOROT PROP HLDGS
DRAL	DOR ALON ENERGY ISR
DRBN	DARBAN HASHKAOT
DRBR	DS APEX HOLDINGS
DRIN	DIRECT INSURANCE
DROM	DI ROM BLDG INVT
DSAP	DS APEX HOLDINGS
DSCT	ISRAEL-DISC.BANK-A-
DSIN	DASH INVESTMENTS
DUBK	DUBEK
DUBK-BR	DUBEK LTD.8% PRF.
DUNI	DUNIEC BROS
EAGL	EAGLE MILITARY GEAR
ECJM	JERUSALEM ECONOMIC
EIAM	EIM COMPUTER TECHNO
EIL	EL CHEM IND (1952)
ELAC	ELA R. CONSTRUCTION
ELAD	ELAD HTLS
ELAL	EL-AL
ELBE	AL-BEN PTY & INVT
ELCO	ELCO
ELCRE	ELECTRA REAL ESTATE
ELDN	ELDAN TECH 1
ELEC	METIS CAPITAL
ELEK	ELECTRA CONSUMER
ELGO	ELGO IRRIGATION
ELIN	ELRAN INVT 1
ELKA	EL-KANIT DEVL
ELRN	ELRON ELEC
ELRO	EL-ROV
ELSPC	ELSPEC ENGINEERING
ELTR	ELECTRA ISRAEL LTD
EMCO	E & M COMPUTING
EMDV	EMILIA DEVELOPMNT A
EMIT	ELBIT MEDICAL IMAG
ENGR1	ENGEL EUROPE
ENGR5	ENGEL EUROPE
ENRS	ENGEL RESOURCES
EQTL	EQUITAL
ERCM	ERICOM SOFTWARE
ESLT	ELBIT SYSTEMS LTD
EVER	EVERGREEN
EVRO	EVROT INDS
EXCE	EXCELLENCE INVTS
EXPO	EXPORT INVT CORP
EXTR	EXTRA PLASTIC
FBRT	FIBROTEC FMS 1
FCT	F.C.T FORMULA COMP
FDLT	FIDELITY GOLD RL-ES
FELD	FELDMAN & SON
FERT	FERTILIZERS & CHEMS
FIBI	F.I.B.I HLDGS INS
FIJE	FIVE J
FILS-L	OIL FIELDS
FIMG	FIRST INTL MORTG
FLCR	FLYING CARPET
FNCTC	FINANCITECH
FNDT	FUNDTECH
FORM	FORMULA SYSTEMS
FOX	FOX WIZEL
FRUT	FRUTAROM INDUSTRIES
FTIN1	FI BK ISRAEL INS
FTIN5	FI BK ISRAEL INS
FUTIN	FEUCHTWANGER INDUST
FUTM	FEUCHTWANGER ELECTR
FVT	FORMULA VISION TECH
GAHE	GACHELET
GAMA	GAMA COMMUNICATION
GAMB	GAMBIT COMPUTER COM
GAMT	GAMATRONIC
GAT	GAON AGRO IND
GDBC	GADOT BIOCHEMICALS
GDOT	GADOT CHEM TANK TER
GIBC	GAI BEACH HTL
GIBR	GIBOR SABRINA TEXTI
GILB	GILBOA WOOD
GILN	GILON INVTS
GILTF	GILAT SATELLITE
GISP	GIBOR SPORT HLDGS
GIVN	GIVEN IMAGING
GIVO-L	GIVOT OLAM
GJEP	GJE PROMOTING 1
GLAN	GOLAN FINE CRAFTS
GLBL	GLOBAL METAL
GLOB	GAZIT GLOBE (1982)
GLPL	GOLAN PLASTIC
GLRA	GALRAN INVT GRP
GMUL	GMUL INVESTMENT CO
GNOR	GANEY OR INVTS
GOHO	GOLDEN HOUSE
GOLD	THE GOLD BD GRP
GRCE	GRAND CENTER DIZENG
GRNT	GRANITE
GROF	GROFIT CIVIL ENGR
GRON	GIRON DEV & BUILD
GSFI	GAN SHMUEL FOOD
GTC	GTC INTERNATIONAL
